type,key,url
bait,fruitpaste,https://img.game8.co/3408241/5648f72009e0de7cc0e49b012b508fb6.png/show
fish,medaka,https://img.game8.co/3412055/34a14aab35250d4e8addab48481033e9.png/show
fish,glazemedaka,https://img.game8.co/3412054/669f18ad2d621a22290298e7dd2eeeaf.png/show
fish,sweetflowermedaka,https://img.game8.co/3412061/4c3b0557c99b9589715315cc04bbe6ba.png/show
fish,aizenmedaka,https://img.game8.co/3412049/f5e73200f767248a75e4a9cf2614ee70.png/show
fish,dawncatcher,https://img.game8.co/3412058/4643bbe3acf135976e33a9989e3bc32b.png/show
fish,crystalfish,https://img.game8.co/3412050/91cfa87a0f9ede2aefef796a787aeb75.png/show
bait,redrot,https://img.game8.co/3408243/24c1bc0bcba8fd2de16acff7020e18c0.png/show
fish,lungedstickleback,https://img.game8.co/3412056/164bf584bb4e2fee175e9b10e6db675f.png/show
fish,betta,https://img.game8.co/3412051/6b7e2b81104acee64844a1a3f87257f5.png/show
fish,venomspinefish,https://img.game8.co/3412066/07b1c62db866e6eaac1fb65f9f332cff.png/show
fish,akaimaou,https://img.game8.co/3412047/51554e09bb7176ad66d8077839f67b1b.png/show
fish,snowstrider,https://img.game8.co/3412065/28acf958923a3e854ec9edc8fb2b8f34.png/show
bait,falseworm,https://img.game8.co/3408242/4d24d384d951fe4bec4e5cfb51bea1a3.png/show
fish,brownshirakodai,https://img.game8.co/3412053/be06b0c13a761bddbf5c273dd4bed8bb.png/show
fish,purpleshirakodai,https://img.game8.co/3412064/9f82053818d7fb6e74dbac8c526abc6d.png/show
fish,teacoloredshirakodai,https://img.game8.co/3412062/49ae5583332184d4132b3f9ad9c684eb.png/show
fish,abidingangelfish,https://img.game8.co/3412048/cb38ee57614b893de1d1658cb66b5c03.png/show
fish,raimeiangelfish,https://img.game8.co/3412060/1315bb9de644251680e52a5155db0cd5.png/show
bait,fakefly,https://img.game8.co/3408244/d7108f0b5eb22c4aaa26f2e0cf0966bf.png/show
fish,divdaray,https://img.game8.co/3464884/e772f39641fe5b3c075a1b630de071b7.png/show
fish,formaloray,https://img.game8.co/3464886/bb3219a47c6bce320903b70d550d9adc.png/show
fish,goldenkoi,https://img.game8.co/3412057/48cc4e27345b05e4c3fdeb4bdceeb822.png/show
fish,rustykoi,https://img.game8.co/3412063/291ef70ee95a662661210a639d846abb.png/show
fish,pufferfish,https://img.game8.co/3412059/9d26025c552c125c48ba66aa573873e7.png/show
fish,bitterpufferfish,https://img.game8.co/3412052/6bf63f20dbcc9da1d72c10b495277da0.png/show
bait,sugardew,https://img.game8.co/3569031/a9c2fb2385a808fc7762b2dba832aeda.png/thumb
fish,sunsetcloudangler,https://img.game8.co/3570444/d874d9a7a647aeb1d656b55bf7bbb76f.png/show
fish,sandstormangler,https://img.game8.co/3570443/09da56b6b0bb50431b76a76b7a2c8da3.png/show
fish,truefruitangler,https://img.game8.co/3570442/ce87dbb5964e64224854916f779ad79f.png/show
fish,peachofthedeepwaves,https://img.game8.co/3570441/4d0bb06deac0fa1aafea85be7a242895.png/show
fish,halcyonjadeaxemarlin,https://img.game8.co/3570439/84c6306f11def8274bc63fa0d840ffb3.png/show
fish,lazuriteaxemarlin,https://img.game8.co/3570440/007df84a2c2e95bd6ee4695cce99080d.png/show
fish,streamingaxemarlin,https://img.game8.co/3752875/802e0761d46b191b07f7c5657afc8a20.png/show
bait,sourbait,https://img.game8.co/3753068/9a1679ad46cf771704b51c2c266aca6b.png/show
fish,ripplingheartfeatherbass,https://img.game8.co/3753415/4df4b8e7d0dd561c91c4aeb0db35aba6.png/show
fish,blazingheartfeatherbass,https://img.game8.co/3753417/4df30d960e2bd576c4492d877af843fd.png/show
fish,jadeheartfeatherbass,https://img.game8.co/3832150/5d0eb231e3e3c6cec176eb26cd4060e2.png/show
bait,flashingmaintenancemekbait,https://img.game8.co/3753270/f983a7a4f1b6729b52aa175fd2cae90a.png/show
fish,maintenancemekplatinumcollection,https://img.game8.co/3753538/3acf1321d4d0caa18c48e4e67d6dee5d.png/show
fish,maintenancemeksituationcontroller,https://img.game8.co/3753540/c5767380671b9c82ab38f3c01e1fdb98.png/show
fish,maintenancemekinitialconfiguration,https://img.game8.co/3753541/3e9104e663f11768d1f3a3fcb079c7f8.png/show
fish,maintenancemekgoldleader,https://img.game8.co/3794165/680b4bd1bdd3598c3d1c1cbf623ec78e.png/show
fish,maintenancemekwaterbodycleaner,https://img.game8.co/3753441/1a7a017ebc3ac4e61cb4c8328329d550.png/show
bait,spinelgrainbait,https://img.game8.co/4049805/be82c271b82f8e08ca70238e79249582.png/show
fish,floralfightingrapidfish,https://img.game8.co/4049803/58d613812b10f7ecddd6b262f45e44e3.png/show
fish,dusksunfish,https://img.game8.co/4049802/2ec34e6a31214db9f616125d5b62ec60.png/show
fish,greenwavesunfish,https://img.game8.co/4049806/87a2883462081d39e1cb7d91bddf2bd3.png/show
fish,pseudosharkunihornfish,https://img.game8.co/4049812/21b71722b345625af53227be67929b1e.png/show
fish,divingrapidfightingfish,https://img.game8.co/4049811/b2dd199e3db2dc82b9f8fd14583277bc.png/show
bait,emberglowbait,https://img.game8.co/4049810/a22d6bf61b41e5c51fe41c4bbd088e29.png/show
fish,phonyphlogistonunihornfish,https://img.game8.co/4049807/1c1fd36e09a79357578a15de16349fa5.png/show
fish,magmarapidfightingfish,https://img.game8.co/4049809/5903cd81a42918abaa83d0c071dbcc5b.png/show
fish,secretsourcescoutsweeper,https://img.game8.co/4141474/94b70ef6deacab7a26e802ef9950671a.png/show
bait,berrybait,https://img.game8.co/4277982/447a8254e3ea0a9250926c7286085a6c.png/show
bait,refreshinglakkabait,https://img.game8.co/4277981/3d6adaa8ed8b9fd853b5819bf634d86e.png/show
fish,blackbackbass,https://img.game8.co/3325324/deb655a3f53d8f07efbfe015fca091d6.png/show
fish,ceruleandoppeldrake,https://img.game8.co/4466257/eacdd04a2ec9219c4f47b4483bdc212e.png/show
fish,frostedaxeheadfish,https://img.game8.co/4277722/806e75fe232dac7e3209e1f66b919d1b.png/show
fish,goldenbass,https://img.game8.co/3325300/7a548b6a61193b60a99523a33db8d071.png/show
fish,moonfin,https://img.game8.co/3418636/f7f7989df4902c13d4b321efe8866b61.png/show
fish,neonmaulershark,https://img.game8.co/4277721/4e72a29606a80e81702fd0cbc859bae6.png/show
